team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SJS,2022,SJS,SJS,Team Level,other,81,0.45,0.48,0.48,8880.0,140.04,30.01,10.04,23.21,4.73,76.03,48.97,25.93,30.01,25.93,137.0,56.0,63.0,256.0,23.0,9.0,0.0,33.0,1.0,70.0,57.0,114.0,170.0,8.0,16.0,119.0,36.0,25.0,18.0,96.0,58.0,39.0,4.02,7.14,18.86,3.0,7.0,13.0,256.0,193.0,193.0,3.0,2.86,3.07,3.07,29.8,29.8,26.3,154.8,37.07,10.71,27.0,5.34,75.59,56.28,34.74,37.07,34.74,160.0,52.0,63.0,275.0,43.0,15.0,3.0,24.0,6.0,60.0,64.0,117.0,169.0,6.0,12.0,120.0,26.0,31.0,18.0,119.0,41.0,52.0,4.83,5.07,27.17,9.0,7.0,27.0,275.0,212.0,212.0,7.0,3.06,4.95,4.95,35.19,35.19,34.21
SJS,2022,SJS,SJS,Team Level,all,81,0.48,0.48,0.48,295484.0,2429.79,257.75,177.65,557.22,80.94,1328.29,943.15,244.35,257.06,243.66,2389.0,956.0,1213.0,4558.0,231.0,248.0,44.0,529.0,67.0,1019.0,1251.0,2158.0,3114.0,275.0,621.0,2454.0,1861.0,741.0,679.0,2336.0,717.0,292.0,73.22,89.84,94.69,75.0,78.0,78.0,4515.31,3345.0,3321.31,316.0,39.29,54.25,54.31,242.73,241.6,233.54,2639.65,275.61,189.8,598.22,88.04,1457.99,1049.35,263.14,278.7,266.09,2604.0,1055.0,1293.0,4952.0,310.0,251.0,44.0,640.0,88.0,1121.0,1250.0,2294.0,3349.0,242.0,551.0,2353.0,1710.0,749.0,691.0,2591.0,775.0,293.0,80.66,94.79,100.15,106.0,117.0,87.0,5017.6,3659.0,3703.43,340.0,41.87,55.49,55.54,261.94,264.81,258.23
SJS,2022,SJS,SJS,Team Level,5on5,81,0.5,0.49,0.48,240895.0,1944.87,186.27,136.6,464.81,65.0,1058.24,771.09,179.33,185.59,178.64,1896.0,786.0,995.0,3677.0,168.0,194.0,35.0,432.0,56.0,807.0,1025.0,1728.0,2514.0,247.0,565.0,1930.0,1751.0,625.0,584.0,1916.0,563.0,203.0,60.5,70.56,55.2,64.0,63.0,41.0,3634.31,2682.0,2658.31,288.0,28.42,40.74,40.81,173.88,172.74,169.49,2062.73,188.87,142.2,485.96,68.69,1139.25,838.03,181.85,191.96,184.8,2040.0,823.0,1020.0,3883.0,217.0,194.0,32.0,527.0,67.0,875.0,984.0,1823.0,2646.0,223.0,513.0,1829.0,1591.0,631.0,563.0,2080.0,599.0,184.0,64.65,73.58,50.62,88.0,93.0,36.0,3948.6,2863.0,2907.43,301.0,29.44,40.15,40.2,178.12,180.99,177.69
SJS,2022,SJS,SJS,Team Level,4on5,81,0.07,0.09,0.1,24594.0,41.84,3.46,1.93,5.73,1.25,13.12,30.51,3.42,3.46,3.42,51.0,5.0,12.0,68.0,4.0,1.0,0.0,10.0,1.0,4.0,36.0,47.0,52.0,6.0,12.0,181.0,52.0,71.0,25.0,43.0,10.0,3.0,1.09,1.31,1.07,3.0,0.0,1.0,68.0,56.0,56.0,20.0,0.45,0.01,0.01,3.9,3.9,3.85,361.08,42.7,33.67,76.3,12.07,223.46,112.81,39.74,42.7,39.74,338.0,163.0,194.0,695.0,40.0,39.0,8.0,78.0,12.0,178.0,154.0,298.0,461.0,10.0,20.0,244.0,28.0,24.0,79.0,337.0,117.0,47.0,9.39,13.95,19.36,8.0,12.0,20.0,695.0,501.0,501.0,6.0,8.62,9.76,9.76,41.56,41.56,39.31
SJS,2022,SJS,SJS,Team Level,5on4,81,0.84,0.85,0.83,21115.0,303.04,38.01,29.1,63.47,9.96,180.9,92.57,35.68,38.01,35.68,305.0,109.0,143.0,557.0,36.0,44.0,9.0,54.0,9.0,138.0,133.0,269.0,378.0,14.0,28.0,224.0,22.0,20.0,52.0,281.0,86.0,47.0,7.61,10.83,19.57,5.0,8.0,23.0,557.0,414.0,414.0,5.0,7.55,10.42,10.42,35.14,35.14,33.9,61.05,6.97,3.22,8.96,1.93,19.69,42.23,6.81,6.97,6.81,66.0,17.0,16.0,99.0,10.0,3.0,1.0,11.0,3.0,8.0,48.0,56.0,73.0,3.0,6.0,160.0,65.0,63.0,31.0,55.0,18.0,10.0,1.78,2.19,3.0,1.0,5.0,4.0,99.0,83.0,83.0,26.0,0.74,0.64,0.64,7.07,7.07,7.02
NYR,2022,NYR,NYR,Team Level,other,81,0.55,0.53,0.54,9338.0,152.21,35.97,11.05,26.62,5.26,83.78,48.32,34.08,35.97,34.08,136.0,75.0,71.0,282.0,38.0,11.0,1.0,8.0,5.0,93.0,56.0,98.0,173.0,10.0,20.0,134.0,22.0,26.0,26.0,102.0,62.0,47.0,4.01,7.52,24.42,6.0,6.0,26.0,282.0,211.0,211.0,7.0,3.3,2.37,2.37,36.89,36.89,35.17,136.47,29.67,10.12,23.9,4.63,69.66,44.01,27.04,29.67,27.04,133.0,49.0,66.0,248.0,25.0,13.0,3.0,22.0,1.0,62.0,59.0,108.0,157.0,6.0,12.0,106.0,24.0,14.0,20.0,76.0,63.0,43.0,2.75,7.57,19.35,2.0,10.0,13.0,248.0,182.0,182.0,7.0,2.99,4.95,4.95,27.71,27.71,25.9
NYR,2022,NYR,NYR,Team Level,all,81,0.51,0.51,0.52,295800.0,2594.66,254.13,184.28,588.09,85.69,1445.89,1034.93,244.05,256.5,246.31,2559.0,1034.0,1169.0,4762.0,271.0,209.0,22.0,403.0,62.0,1379.0,1269.0,2288.0,3322.0,261.0,603.0,2164.0,1968.0,666.0,852.0,2610.0,752.0,231.0,79.24,90.95,83.96,92.0,100.0,79.0,4818.71,3593.0,3626.92,421.0,41.11,39.12,39.12,256.13,258.41,251.66,2423.83,244.42,167.81,562.05,80.04,1305.78,951.97,231.39,243.49,230.64,2384.0,929.0,1188.0,4501.0,213.0,222.0,33.0,350.0,42.0,1211.0,1276.0,2171.0,3100.0,284.0,659.0,2239.0,1726.0,576.0,799.0,2346.0,705.0,262.0,68.42,87.59,88.41,74.0,72.0,67.0,4470.39,3313.0,3301.35,390.0,37.06,50.58,50.96,230.52,229.84,223.75
NYR,2022,NYR,NYR,Team Level,5on5,81,0.48,0.5,0.5,242386.0,1947.98,160.95,130.14,463.23,63.83,1077.01,798.84,156.11,163.31,158.37,1948.0,746.0,936.0,3630.0,179.0,150.0,17.0,328.0,46.0,1006.0,985.0,1769.0,2515.0,223.0,524.0,1650.0,1876.0,549.0,733.0,2021.0,547.0,126.0,61.13,65.71,34.12,69.0,80.0,30.0,3686.71,2694.0,2727.92,386.0,26.92,28.32,28.4,159.47,161.75,159.2,1952.22,171.56,129.96,472.81,64.47,1047.82,780.44,163.91,170.63,163.14,1919.0,749.0,983.0,3651.0,150.0,173.0,24.0,290.0,37.0,981.0,1038.0,1769.0,2518.0,253.0,594.0,1754.0,1630.0,506.0,667.0,1947.0,555.0,166.0,57.97,69.19,44.4,70.0,49.0,31.0,3620.39,2668.0,2656.35,351.0,26.97,34.56,34.95,163.58,162.91,159.99
NYR,2022,NYR,NYR,Team Level,4on5,81,0.16,0.18,0.21,20954.0,76.26,7.35,3.95,10.94,2.25,23.45,53.06,7.32,7.35,7.32,73.0,28.0,16.0,117.0,6.0,3.0,0.0,6.0,1.0,17.0,68.0,67.0,95.0,10.0,20.0,143.0,49.0,68.0,22.0,71.0,21.0,9.0,2.48,2.48,2.39,2.0,2.0,2.0,117.0,101.0,101.0,18.0,0.92,0.37,0.37,7.9,7.9,7.87,280.99,38.45,25.17,56.84,9.24,171.07,90.22,35.79,38.45,35.79,273.0,118.0,125.0,516.0,34.0,33.0,6.0,36.0,4.0,155.0,129.0,239.0,357.0,16.0,32.0,194.0,22.0,17.0,86.0,271.0,72.0,48.0,6.52,8.84,23.09,2.0,11.0,21.0,516.0,391.0,391.0,9.0,6.5,10.02,10.02,34.93,34.93,33.58
NYR,2022,NYR,NYR,Team Level,5on4,81,0.91,0.9,0.89,23122.0,418.21,49.87,39.14,87.29,14.36,261.65,134.7,46.54,49.87,46.54,402.0,185.0,146.0,733.0,48.0,45.0,4.0,61.0,10.0,263.0,160.0,354.0,539.0,18.0,39.0,237.0,21.0,23.0,71.0,416.0,122.0,49.0,11.62,15.23,23.02,15.0,12.0,21.0,733.0,587.0,587.0,10.0,9.98,8.06,7.98,51.87,51.87,49.42,54.15,4.74,2.55,8.5,1.69,17.22,37.31,4.67,4.74,4.67,59.0,13.0,14.0,86.0,4.0,3.0,0.0,2.0,0.0,13.0,50.0,55.0,68.0,9.0,21.0,185.0,50.0,39.0,26.0,52.0,15.0,5.0,1.18,1.99,1.57,0.0,2.0,2.0,86.0,72.0,72.0,23.0,0.59,1.04,1.04,4.29,4.29,4.27
STL,2022,STL,STL,Team Level,other,81,0.35,0.43,0.4,8453.0,96.38,19.38,6.65,16.93,3.16,50.54,35.34,19.13,19.38,19.13,99.0,33.0,55.0,187.0,28.0,6.0,2.0,18.0,2.0,35.0,43.0,71.0,104.0,4.0,6.0,90.0,17.0,21.0,8.0,67.0,44.0,21.0,2.58,5.77,11.03,5.0,10.0,13.0,187.0,132.0,132.0,5.0,1.84,1.03,1.03,20.19,20.19,20.03,142.64,36.35,10.46,22.95,4.61,78.19,45.45,34.61,36.35,34.61,142.0,56.0,50.0,248.0,42.0,8.0,3.0,21.0,3.0,69.0,55.0,100.0,156.0,3.0,6.0,98.0,18.0,34.0,22.0,95.0,54.0,49.0,3.96,6.78,25.61,7.0,6.0,29.0,248.0,198.0,198.0,10.0,3.01,2.69,3.23,36.13,36.13,34.69
STL,2022,STL,STL,Team Level,all,81,0.44,0.46,0.46,294568.0,2299.33,219.73,159.97,518.99,73.37,1272.34,923.6,213.37,220.03,213.67,2316.0,852.0,990.0,4158.0,260.0,165.0,27.0,447.0,77.0,1024.0,1195.0,2056.0,2908.0,252.0,555.0,2134.0,1799.0,672.0,609.0,2295.0,673.0,200.0,68.85,81.63,69.25,95.0,92.0,73.0,4136.14,3168.0,3160.3,359.0,34.94,34.76,34.77,219.89,220.26,216.75,2661.85,277.92,188.11,610.63,87.72,1453.6,1054.02,265.33,279.3,266.72,2619.0,1053.0,1155.0,4827.0,297.0,258.0,46.0,526.0,66.0,1196.0,1329.0,2322.0,3375.0,274.0,602.0,2251.0,1502.0,840.0,615.0,2590.0,801.0,281.0,78.51,98.06,101.35,89.0,109.0,99.0,4865.34,3672.0,3692.38,348.0,41.41,53.67,53.67,265.66,267.0,259.86
STL,2022,STL,STL,Team Level,5on5,81,0.45,0.46,0.46,243105.0,1828.65,154.94,122.5,430.76,58.51,1006.97,747.32,151.02,155.25,151.33,1854.0,667.0,804.0,3325.0,180.0,131.0,19.0,360.0,65.0,824.0,961.0,1674.0,2341.0,231.0,514.0,1660.0,1714.0,586.0,529.0,1865.0,528.0,128.0,56.97,64.08,33.9,79.0,69.0,32.0,3303.14,2521.0,2513.3,328.0,25.26,27.04,27.18,153.03,153.39,151.34,2116.51,188.88,143.33,509.65,70.29,1152.96,856.89,181.07,190.27,182.46,2074.0,848.0,983.0,3905.0,187.0,209.0,35.0,435.0,55.0,947.0,1089.0,1887.0,2735.0,255.0,564.0,1783.0,1409.0,719.0,524.0,2129.0,624.0,169.0,64.76,76.73,47.41,67.0,84.0,36.0,3943.34,2922.0,2942.38,309.0,29.69,41.57,41.02,177.55,178.89,175.39
STL,2022,STL,STL,Team Level,4on5,81,0.14,0.13,0.15,19737.0,60.08,7.33,3.22,8.15,1.83,18.53,39.95,7.06,7.33,7.06,62.0,17.0,3.0,82.0,6.0,7.0,1.0,5.0,1.0,14.0,46.0,56.0,73.0,8.0,19.0,164.0,40.0,50.0,24.0,49.0,19.0,11.0,1.61,2.39,3.32,1.0,2.0,3.0,82.0,79.0,79.0,22.0,0.73,2.3,2.3,5.77,5.77,5.73,332.32,44.72,30.47,68.37,10.73,200.55,104.16,41.79,44.72,41.79,328.0,131.0,112.0,571.0,55.0,37.0,6.0,64.0,8.0,164.0,131.0,273.0,404.0,11.0,22.0,190.0,19.0,17.0,42.0,311.0,96.0,52.0,7.94,11.12,25.66,9.0,17.0,29.0,571.0,459.0,459.0,3.0,7.85,8.44,8.44,44.13,44.13,41.95
STL,2022,STL,STL,Team Level,5on4,81,0.83,0.85,0.82,23273.0,314.22,38.07,27.6,63.15,9.88,196.3,101.0,36.14,38.07,36.14,301.0,135.0,128.0,564.0,46.0,21.0,5.0,64.0,9.0,151.0,145.0,255.0,390.0,9.0,16.0,220.0,28.0,15.0,48.0,314.0,82.0,40.0,7.67,9.4,21.0,10.0,11.0,25.0,564.0,436.0,436.0,4.0,7.1,4.4,4.26,40.91,40.91,39.67,70.38,7.97,3.86,9.66,2.09,21.9,47.52,7.86,7.97,7.86,75.0,18.0,10.0,103.0,13.0,4.0,2.0,6.0,0.0,16.0,54.0,62.0,80.0,5.0,10.0,180.0,56.0,70.0,27.0,55.0,27.0,11.0,1.86,3.44,2.68,6.0,2.0,5.0,103.0,93.0,93.0,26.0,0.86,0.98,0.98,7.85,7.85,7.82
COL,2022,COL,COL,Team Level,other,80,0.52,0.57,0.57,9195.0,171.94,32.43,12.81,32.2,6.48,96.7,57.37,31.04,32.43,31.04,162.0,76.0,71.0,309.0,37.0,16.0,3.0,24.0,4.0,99.0,58.0,125.0,201.0,6.0,12.0,138.0,32.0,9.0,19.0,136.0,57.0,45.0,4.98,7.05,20.4,2.0,10.0,25.0,309.0,238.0,238.0,4.0,3.84,4.91,4.33,31.95,31.95,30.67,131.48,30.12,9.68,23.02,4.66,67.52,44.0,27.31,30.12,27.31,127.0,52.0,50.0,229.0,25.0,14.0,2.0,22.0,12.0,51.0,55.0,102.0,154.0,6.0,12.0,124.0,27.0,11.0,16.0,83.0,49.0,47.0,3.04,6.05,21.04,6.0,4.0,15.0,229.0,179.0,179.0,4.0,2.84,5.14,5.14,27.82,27.82,26.67
COL,2022,COL,COL,Team Level,all,80,0.51,0.52,0.52,292606.0,2566.88,257.51,182.2,582.08,84.73,1459.33,1028.15,247.94,260.96,251.28,2670.0,924.0,1297.0,4891.0,266.0,205.0,31.0,589.0,91.0,1139.0,1304.0,2404.0,3328.0,282.0,619.0,2200.0,1589.0,590.0,521.0,2633.0,706.0,255.0,80.64,85.89,90.98,88.0,90.0,88.0,4975.7,3594.0,3644.54,239.0,40.52,48.45,48.45,249.58,252.62,246.51,2421.15,242.56,172.16,553.8,80.76,1340.22,965.5,229.34,241.28,228.16,2499.0,856.0,1088.0,4443.0,218.0,241.0,31.0,594.0,77.0,1021.0,1204.0,2281.0,3137.0,291.0,639.0,2515.0,1844.0,584.0,499.0,2442.0,653.0,260.0,71.12,81.45,89.99,75.0,76.0,67.0,4389.04,3355.0,3322.94,262.0,38.18,53.4,53.43,227.31,226.06,220.06
COL,2022,COL,COL,Team Level,5on5,80,0.52,0.52,0.51,235744.0,1976.18,172.47,133.35,467.25,64.45,1119.56,815.91,167.12,175.92,170.45,2069.0,704.0,1080.0,3853.0,168.0,144.0,20.0,487.0,70.0,849.0,1055.0,1901.0,2605.0,260.0,575.0,1723.0,1461.0,516.0,435.0,2087.0,532.0,154.0,64.22,65.16,43.09,74.0,63.0,31.0,3937.71,2773.0,2823.54,210.0,27.48,32.89,33.04,166.9,169.94,167.17,1898.95,157.96,126.68,454.55,63.16,1053.13,782.52,151.68,156.68,150.5,1964.0,674.0,902.0,3540.0,142.0,175.0,20.0,507.0,52.0,801.0,961.0,1822.0,2496.0,258.0,571.0,1924.0,1714.0,491.0,410.0,2008.0,483.0,147.0,58.19,59.88,39.87,63.0,56.0,23.0,3486.04,2638.0,2605.94,227.0,26.24,34.83,34.87,149.32,148.08,145.3
COL,2022,COL,COL,Team Level,4on5,80,0.1,0.12,0.14,23498.0,57.12,5.32,2.78,7.88,1.64,18.05,40.33,5.17,5.32,5.17,65.0,11.0,7.0,83.0,5.0,4.0,2.0,5.0,1.0,9.0,52.0,60.0,71.0,5.0,10.0,165.0,71.0,47.0,20.0,55.0,14.0,7.0,1.63,1.76,1.93,1.0,2.0,2.0,83.0,76.0,76.0,19.0,0.63,1.14,1.14,4.81,4.81,4.8,340.33,50.52,33.09,68.81,11.24,201.64,101.7,46.41,50.52,46.41,341.0,126.0,128.0,595.0,48.0,51.0,9.0,59.0,11.0,160.0,138.0,293.0,419.0,16.0,32.0,230.0,27.0,15.0,42.0,294.0,110.0,63.0,8.11,14.12,28.29,6.0,14.0,28.0,595.0,467.0,467.0,4.0,8.48,13.41,13.41,45.59,45.59,43.54
COL,2022,COL,COL,Team Level,5on4,80,0.92,0.89,0.88,24169.0,361.64,47.29,33.26,74.75,12.16,225.02,114.53,44.61,47.29,44.61,374.0,133.0,139.0,646.0,56.0,41.0,6.0,73.0,16.0,182.0,139.0,318.0,451.0,11.0,22.0,174.0,25.0,18.0,47.0,355.0,103.0,49.0,9.81,11.92,25.56,11.0,15.0,30.0,646.0,507.0,507.0,6.0,8.56,9.51,9.93,45.91,45.91,43.87,50.39,3.97,2.71,7.43,1.7,17.92,37.28,3.94,3.97,3.94,67.0,4.0,8.0,79.0,3.0,1.0,0.0,6.0,2.0,9.0,50.0,64.0,68.0,11.0,24.0,237.0,76.0,67.0,31.0,57.0,11.0,3.0,1.78,1.4,0.79,0.0,2.0,1.0,79.0,71.0,71.0,27.0,0.62,0.01,0.01,4.58,4.58,4.54
LAK,2022,LAK,LAK,Team Level,other,81,0.52,0.48,0.48,10899.0,146.7,31.68,9.75,24.77,4.72,72.82,57.33,29.68,31.68,29.68,146.0,56.0,59.0,261.0,33.0,8.0,0.0,17.0,7.0,63.0,74.0,113.0,169.0,9.0,18.0,138.0,39.0,14.0,28.0,99.0,63.0,40.0,3.86,7.88,19.93,3.0,11.0,19.0,261.0,202.0,202.0,19.0,2.75,2.95,2.95,31.42,31.42,29.86,159.0,29.37,11.88,28.09,5.31,89.36,54.0,27.49,29.37,27.49,149.0,69.0,65.0,283.0,30.0,13.0,1.0,30.0,8.0,73.0,64.0,119.0,188.0,5.0,12.0,125.0,39.0,26.0,17.0,110.0,71.0,37.0,4.57,8.7,16.1,7.0,9.0,14.0,283.0,218.0,218.0,7.0,3.4,3.5,3.5,29.28,29.28,28.04
LAK,2022,LAK,LAK,Team Level,all,81,0.53,0.51,0.53,295760.0,2621.83,263.16,180.69,602.62,86.36,1441.53,1045.71,251.13,263.65,251.62,2623.0,998.0,1181.0,4802.0,269.0,216.0,32.0,579.0,87.0,1209.0,1261.0,2354.0,3352.0,307.0,661.0,2405.0,1730.0,410.0,615.0,2549.0,802.0,270.0,74.14,97.65,91.36,80.0,106.0,83.0,4828.41,3621.0,3643.45,431.0,39.91,47.65,47.7,255.3,255.73,248.44,2351.82,234.8,165.18,530.87,76.82,1301.63,933.71,224.33,234.88,224.46,2265.0,978.0,1298.0,4541.0,251.0,203.0,30.0,522.0,76.0,1067.0,1124.0,2014.0,2992.0,302.0,644.0,2113.0,2254.0,484.0,548.0,2309.0,703.0,231.0,67.84,86.02,80.95,94.0,81.0,76.0,4532.62,3243.0,3239.2,361.0,36.68,45.27,45.27,226.2,226.65,220.79
LAK,2022,LAK,LAK,Team Level,5on5,81,0.53,0.52,0.54,237158.0,2062.29,178.15,135.41,497.26,67.83,1136.81,836.54,170.87,178.65,171.36,2056.0,796.0,949.0,3801.0,167.0,172.0,27.0,484.0,65.0,962.0,1002.0,1889.0,2685.0,267.0,578.0,1809.0,1593.0,354.0,496.0,2095.0,586.0,171.0,61.04,70.52,46.59,61.0,72.0,34.0,3827.41,2852.0,2874.45,361.0,28.0,37.08,37.14,169.01,169.43,165.94,1783.12,157.45,119.87,421.32,58.1,976.64,724.62,150.54,157.54,150.67,1700.0,758.0,1014.0,3472.0,156.0,153.0,18.0,414.0,55.0,790.0,890.0,1544.0,2302.0,270.0,575.0,1575.0,2100.0,407.0,435.0,1785.0,533.0,140.0,52.81,66.18,38.46,74.0,57.0,25.0,3463.62,2458.0,2454.2,296.0,24.82,31.86,32.3,149.96,150.42,147.25
LAK,2022,LAK,LAK,Team Level,4on5,81,0.12,0.1,0.13,24363.0,54.35,5.66,2.81,7.57,1.76,17.77,38.43,5.63,5.66,5.63,67.0,7.0,5.0,79.0,7.0,1.0,1.0,3.0,0.0,12.0,51.0,60.0,67.0,9.0,18.0,193.0,68.0,36.0,47.0,51.0,15.0,8.0,1.4,1.92,2.34,3.0,2.0,2.0,79.0,74.0,74.0,47.0,0.64,0.47,0.47,5.82,5.82,5.79,353.29,42.56,30.72,73.32,11.54,217.71,114.15,40.97,42.56,40.97,351.0,139.0,205.0,695.0,57.0,35.0,11.0,74.0,12.0,187.0,125.0,294.0,433.0,19.0,38.0,231.0,29.0,13.0,39.0,358.0,86.0,46.0,8.69,9.63,24.24,12.0,11.0,34.0,695.0,490.0,490.0,4.0,7.83,9.39,8.95,41.45,41.45,40.01
LAK,2022,LAK,LAK,Team Level,5on4,81,0.9,0.88,0.86,23340.0,358.5,47.67,32.72,73.02,12.05,214.12,113.4,44.95,47.67,44.95,354.0,139.0,168.0,661.0,62.0,35.0,4.0,75.0,15.0,172.0,134.0,292.0,431.0,22.0,47.0,265.0,30.0,6.0,44.0,304.0,138.0,51.0,7.84,17.33,22.51,13.0,21.0,28.0,661.0,493.0,493.0,4.0,8.52,7.14,7.14,49.05,49.05,46.87,56.42,5.41,2.73,8.14,1.86,17.92,40.94,5.33,5.41,5.33,65.0,12.0,14.0,91.0,8.0,2.0,0.0,4.0,1.0,17.0,45.0,57.0,69.0,8.0,19.0,182.0,86.0,38.0,57.0,56.0,13.0,8.0,1.77,1.51,2.14,1.0,4.0,3.0,91.0,77.0,77.0,54.0,0.62,0.53,0.53,5.51,5.51,5.48
EDM,2022,EDM,EDM,Team Level,other,81,0.58,0.51,0.51,9289.0,139.3,35.02,9.75,22.71,4.39,69.36,44.76,33.45,35.02,33.45,141.0,45.0,52.0,238.0,34.0,8.0,2.0,28.0,1.0,57.0,58.0,107.0,152.0,10.0,20.0,135.0,20.0,32.0,22.0,76.0,60.0,50.0,2.92,7.58,24.52,2.0,9.0,23.0,238.0,186.0,186.0,7.0,2.78,2.84,3.25,34.55,34.55,33.92,130.81,25.48,9.46,24.18,5.19,69.01,42.68,23.91,25.48,23.91,140.0,36.0,53.0,229.0,24.0,11.0,2.0,29.0,4.0,61.0,47.0,116.0,152.0,9.0,18.0,115.0,30.0,24.0,24.0,85.0,58.0,33.0,3.19,6.98,15.31,4.0,6.0,14.0,229.0,176.0,176.0,12.0,2.75,2.94,2.94,25.29,25.29,23.98
EDM,2022,EDM,EDM,Team Level,all,81,0.56,0.52,0.52,294219.0,2685.94,306.63,191.79,588.45,86.68,1436.98,1052.47,289.16,309.64,292.15,2719.0,944.0,1177.0,4840.0,320.0,219.0,32.0,539.0,75.0,1253.0,1257.0,2399.0,3343.0,311.0,670.0,2454.0,1859.0,728.0,852.0,2434.0,913.0,316.0,75.51,112.61,118.51,98.0,123.0,99.0,4926.56,3663.0,3718.05,464.0,42.68,50.81,50.99,298.32,301.39,291.0,2501.98,240.72,170.82,579.53,82.94,1374.21,986.79,232.31,239.73,231.34,2544.0,891.0,1027.0,4462.0,254.0,209.0,39.0,590.0,69.0,1140.0,1173.0,2290.0,3181.0,307.0,663.0,2379.0,2009.0,683.0,821.0,2506.0,693.0,236.0,75.01,83.48,82.23,83.0,83.0,88.0,4416.69,3435.0,3409.08,441.0,38.02,41.96,42.01,236.73,235.56,230.39
EDM,2022,EDM,EDM,Team Level,5on5,81,0.54,0.52,0.52,236666.0,2054.46,190.37,140.9,477.52,66.97,1108.85,832.39,182.68,193.39,185.67,2072.0,745.0,948.0,3765.0,190.0,162.0,16.0,444.0,61.0,958.0,1002.0,1882.0,2627.0,274.0,596.0,1843.0,1746.0,595.0,709.0,1983.0,662.0,172.0,62.35,82.04,45.98,83.0,80.0,27.0,3851.56,2817.0,2872.05,407.0,29.27,32.9,32.66,186.98,190.06,185.81,1920.2,162.0,124.2,463.66,62.95,1044.31,778.87,157.46,161.01,156.5,1943.0,693.0,803.0,3439.0,168.0,160.0,30.0,475.0,46.0,869.0,918.0,1775.0,2468.0,270.0,586.0,1832.0,1864.0,582.0,663.0,1979.0,516.0,141.0,59.99,62.46,39.56,72.0,58.0,38.0,3393.69,2636.0,2610.08,384.0,25.66,31.18,31.43,156.23,155.08,152.78
