team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MTL,2022,MTL,MTL,Team Level,other,81,0.38,0.48,0.47,9344.0,130.25,24.71,10.1,22.95,4.27,70.72,43.26,22.5,24.71,22.5,129.0,47.0,72.0,248.0,24.0,11.0,1.0,15.0,4.0,68.0,54.0,105.0,152.0,7.0,17.0,117.0,21.0,14.0,26.0,82.0,57.0,37.0,3.29,6.79,14.63,5.0,6.0,13.0,248.0,176.0,176.0,19.0,2.95,3.16,3.0,24.66,24.66,23.1,146.85,40.83,9.98,23.55,4.68,72.9,48.07,36.57,40.83,36.57,148.0,52.0,64.0,264.0,34.0,10.0,0.0,19.0,4.0,74.0,59.0,114.0,166.0,12.0,29.0,118.0,32.0,18.0,31.0,90.0,46.0,64.0,3.52,5.33,31.97,3.0,7.0,24.0,264.0,200.0,200.0,22.0,2.98,4.33,4.11,39.7,39.7,36.4
MTL,2022,MTL,MTL,Team Level,all,81,0.41,0.45,0.45,294817.0,2196.25,215.97,153.47,506.55,72.14,1189.3,876.58,206.89,214.67,205.67,2203.0,811.0,1138.0,4152.0,223.0,196.0,35.0,473.0,52.0,948.0,1122.0,1980.0,2791.0,321.0,748.0,2159.0,1588.0,506.0,1004.0,2139.0,639.0,236.0,62.42,78.84,74.7,69.0,88.0,66.0,4103.24,3014.0,2987.92,735.0,34.03,41.87,41.98,208.03,207.08,202.58,2734.0,311.37,198.14,622.09,90.97,1485.5,1046.93,292.79,314.26,295.6,2732.0,1023.0,1391.0,5146.0,300.0,282.0,45.0,546.0,68.0,1280.0,1279.0,2432.0,3455.0,291.0,671.0,2291.0,1608.0,597.0,889.0,2566.0,809.0,380.0,78.16,100.93,132.28,71.0,115.0,114.0,5238.43,3755.0,3806.94,649.0,44.33,66.4,66.47,289.24,291.87,281.48
MTL,2022,MTL,MTL,Team Level,5on5,81,0.43,0.45,0.45,237227.0,1740.96,154.64,115.2,414.71,56.9,941.74,710.8,149.38,153.35,148.15,1743.0,651.0,918.0,3312.0,161.0,150.0,30.0,402.0,35.0,751.0,895.0,1582.0,2233.0,283.0,666.0,1651.0,1466.0,426.0,866.0,1753.0,489.0,152.0,51.01,60.87,42.76,61.0,69.0,31.0,3263.24,2394.0,2367.92,637.0,23.92,33.46,33.74,144.84,143.88,141.87,2092.35,201.12,144.84,501.07,69.57,1131.04,827.36,192.52,204.01,195.33,2079.0,796.0,1104.0,3979.0,195.0,219.0,31.0,448.0,51.0,936.0,1026.0,1884.0,2680.0,257.0,600.0,1751.0,1495.0,498.0,770.0,2028.0,615.0,232.0,61.84,77.54,61.75,60.0,88.0,47.0,4071.43,2875.0,2926.94,575.0,30.15,46.07,46.13,185.15,187.78,184.3
MTL,2022,MTL,MTL,Team Level,4on5,81,0.09,0.11,0.12,24872.0,59.04,6.13,3.54,9.36,1.99,19.76,39.22,5.99,6.13,5.99,65.0,15.0,17.0,97.0,6.0,2.0,0.0,4.0,2.0,16.0,50.0,59.0,74.0,12.0,29.0,209.0,67.0,56.0,76.0,52.0,22.0,6.0,1.57,2.86,1.7,0.0,4.0,2.0,97.0,80.0,80.0,75.0,0.81,0.39,0.39,6.55,6.55,6.5,434.77,62.09,39.75,88.09,14.62,261.48,131.96,56.49,62.09,56.49,433.0,165.0,216.0,814.0,69.0,50.0,14.0,67.0,13.0,253.0,146.0,364.0,529.0,14.0,26.0,243.0,26.0,22.0,45.0,397.0,129.0,72.0,11.31,15.49,35.29,8.0,20.0,41.0,814.0,598.0,598.0,9.0,10.39,15.35,15.35,57.13,57.13,53.56
MTL,2022,MTL,MTL,Team Level,5on4,81,0.81,0.85,0.82,23374.0,265.99,30.49,24.64,59.54,8.97,157.08,83.29,29.02,30.49,29.02,266.0,98.0,131.0,495.0,32.0,33.0,4.0,52.0,11.0,113.0,123.0,234.0,332.0,19.0,36.0,182.0,34.0,10.0,36.0,252.0,71.0,41.0,6.56,8.33,15.61,3.0,9.0,20.0,495.0,364.0,364.0,4.0,6.36,4.86,4.86,31.99,31.99,31.12,60.05,7.33,3.57,9.39,2.09,20.08,39.55,7.21,7.33,7.21,72.0,10.0,7.0,89.0,2.0,3.0,0.0,12.0,0.0,17.0,48.0,70.0,80.0,8.0,16.0,179.0,55.0,59.0,43.0,51.0,19.0,12.0,1.5,2.56,3.27,0.0,0.0,2.0,89.0,82.0,82.0,43.0,0.82,0.66,0.88,7.27,7.27,7.22
TBL,2022,TBL,TBL,Team Level,other,81,0.55,0.55,0.57,11062.0,184.94,43.06,13.5,32.71,6.46,99.74,56.54,39.91,43.06,39.91,183.0,69.0,67.0,319.0,36.0,20.0,4.0,43.0,4.0,86.0,63.0,147.0,216.0,6.0,12.0,147.0,38.0,27.0,24.0,122.0,73.0,57.0,5.11,9.16,28.78,6.0,4.0,26.0,319.0,252.0,252.0,10.0,4.04,7.95,7.95,39.14,39.14,36.93,140.36,34.84,9.89,25.14,4.62,72.32,44.19,32.82,34.84,32.82,147.0,44.0,75.0,266.0,34.0,11.0,2.0,23.0,5.0,62.0,56.0,113.0,157.0,10.0,20.0,142.0,41.0,25.0,28.0,88.0,57.0,46.0,3.34,7.22,24.28,4.0,9.0,21.0,266.0,191.0,191.0,10.0,2.87,3.45,3.71,34.0,34.0,32.77
TBL,2022,TBL,TBL,Team Level,all,81,0.52,0.51,0.51,294366.0,2637.2,288.36,190.62,589.96,87.89,1459.62,1039.54,273.68,289.24,274.55,2589.0,1067.0,1197.0,4853.0,275.0,246.0,40.0,572.0,97.0,1233.0,1233.0,2314.0,3381.0,342.0,797.0,2330.0,2004.0,762.0,772.0,2473.0,891.0,292.0,75.97,108.2,104.19,69.0,106.0,100.0,4887.35,3656.0,3672.08,365.0,42.6,54.61,54.61,276.35,277.05,269.07,2511.14,269.08,180.96,572.12,83.57,1378.81,983.46,256.18,269.51,256.59,2550.0,918.0,1136.0,4604.0,252.0,239.0,28.0,521.0,84.0,1075.0,1297.0,2298.0,3216.0,356.0,842.0,2197.0,2212.0,827.0,570.0,2407.0,776.0,285.0,71.73,96.35,101.0,78.0,87.0,87.0,4600.96,3468.0,3471.65,261.0,40.23,51.74,52.17,257.15,257.76,251.37
TBL,2022,TBL,TBL,Team Level,5on5,81,0.51,0.51,0.51,235457.0,2009.55,186.85,140.19,474.5,67.28,1115.23,812.96,178.61,187.74,179.47,1965.0,832.0,956.0,3753.0,172.0,197.0,31.0,458.0,78.0,935.0,957.0,1793.0,2625.0,302.0,717.0,1757.0,1837.0,618.0,648.0,1986.0,642.0,169.0,61.24,78.51,47.11,54.0,75.0,43.0,3787.35,2797.0,2813.08,327.0,29.09,39.93,39.93,176.01,176.71,173.21,1923.7,178.39,132.04,458.73,63.97,1056.15,773.73,171.3,178.81,171.72,1960.0,703.0,880.0,3543.0,162.0,187.0,21.0,434.0,60.0,802.0,1018.0,1798.0,2501.0,311.0,750.0,1642.0,2032.0,679.0,468.0,1906.0,582.0,175.0,56.97,72.25,49.17,63.0,61.0,38.0,3539.96,2663.0,2666.65,233.0,27.37,38.69,38.42,167.34,167.94,165.06
TBL,2022,TBL,TBL,Team Level,4on5,81,0.14,0.14,0.17,23555.0,76.34,8.07,3.98,10.44,2.29,23.68,54.55,7.88,8.07,7.88,78.0,25.0,11.0,114.0,5.0,5.0,0.0,9.0,0.0,20.0,64.0,73.0,98.0,10.0,20.0,196.0,85.0,80.0,23.0,67.0,27.0,9.0,2.18,3.46,2.44,1.0,2.0,2.0,114.0,103.0,103.0,21.0,0.92,1.33,1.33,7.66,7.66,7.6,374.45,48.3,35.18,78.57,12.85,227.6,115.49,44.56,48.3,44.56,368.0,150.0,166.0,684.0,48.0,38.0,5.0,59.0,15.0,198.0,160.0,320.0,470.0,23.0,46.0,227.0,48.0,34.0,56.0,349.0,113.0,56.0,9.39,13.74,25.17,9.0,15.0,24.0,684.0,518.0,518.0,3.0,9.1,9.06,9.49,47.92,47.92,45.66
TBL,2022,TBL,TBL,Team Level,5on4,81,0.87,0.86,0.84,24292.0,366.36,50.38,32.95,72.33,11.86,220.98,115.5,47.29,50.38,47.29,363.0,141.0,163.0,667.0,62.0,24.0,5.0,62.0,15.0,192.0,149.0,301.0,442.0,24.0,48.0,230.0,44.0,37.0,77.0,298.0,149.0,57.0,7.45,17.06,25.87,8.0,25.0,29.0,667.0,504.0,504.0,7.0,8.56,5.4,5.4,53.54,53.54,51.32,72.63,7.55,3.85,9.68,2.12,22.74,50.05,7.49,7.55,7.49,75.0,21.0,15.0,111.0,8.0,3.0,0.0,5.0,4.0,13.0,63.0,67.0,88.0,12.0,26.0,186.0,91.0,89.0,18.0,64.0,24.0,8.0,2.02,3.15,2.39,2.0,2.0,4.0,111.0,96.0,96.0,15.0,0.89,0.54,0.54,7.9,7.9,7.88
