x,y,shots,
0,28,0,
0,29,1,
0,30,1,
0,31,4,
0,32,8,
0,33,16,
0,34,24,
0,35,40,
0,36,48,
0,37,59,
0,38,75,
0,39,93,
0,40,92,
0,41,110,
0,42,128,
0,43,138,
0,44,158,
0,45,179,
0,46,192,
0,47,200,
0,48,233,
0,49,252,
0,50,280,
0,51,281,
0,52,289,
0,53,294,
0,54,294,
0,55,282,
0,56,273,
0,57,265,
0,58,242,
0,59,232,
0,60,236,
0,61,222,
0,62,216,
0,63,216,
0,64,211,
0,65,225,
0,66,213,
0,67,214,
0,68,218,
0,69,216,
0,70,216,
0,71,216,
0,72,207,
0,73,206,
0,74,190,
0,75,178,
0,76,171,
0,77,164,
0,78,137,
0,79,139,
0,80,148,
0,81,155,
0,82,172,
0,83,183,
0,84,203,
0,85,191,
0,86,179,
0,87,151,
0,88,128,
0,89,107,
0,90,89,
0,91,67,
1,28,2,
1,29,4,
1,30,8,
1,31,14,
1,32,25,
1,33,35,
1,34,52,
1,35,65,
1,36,81,
1,37,96,
1,38,121,
1,39,137,
1,40,152,
1,41,162,
1,42,186,
1,43,206,
1,44,225,
1,45,254,
1,46,279,
1,47,296,
1,48,318,
1,49,352,
1,50,379,
1,51,398,
1,52,408,
1,53,416,
1,54,417,
1,55,435,
1,56,425,
1,57,418,
1,58,415,
1,59,379,
1,60,368,
1,61,363,
1,62,337,
1,63,328,
1,64,317,
1,65,322,
1,66,320,
1,67,310,
1,68,309,
1,69,309,
1,70,308,
1,71,306,
1,72,303,
1,73,302,
1,74,294,
1,75,268,
1,76,257,
1,77,252,
1,78,245,
1,79,242,
1,80,248,
1,81,264,
1,82,278,
1,83,302,
1,84,316,
1,85,305,
1,86,275,
1,87,234,
1,88,194,
1,89,151,
1,90,121,
1,91,96,
2,28,13,
2,29,24,
2,30,35,
2,31,49,
2,32,61,
2,33,74,
2,34,83,
2,35,98,
2,36,114,
2,37,143,
2,38,166,
2,39,200,
2,40,217,
2,41,232,
2,42,248,
2,43,271,
2,44,303,
2,45,328,
2,46,371,
2,47,395,
2,48,430,
2,49,453,
2,50,494,
2,51,514,
2,52,545,
2,53,538,
2,54,559,
2,55,560,
2,56,569,
2,57,549,
2,58,554,
2,59,531,
2,60,524,
2,61,488,
2,62,487,
2,63,451,
2,64,433,
2,65,437,
2,66,443,
2,67,432,
2,68,419,
2,69,422,
2,70,416,
2,71,414,
2,72,398,
2,73,411,
2,74,391,
2,75,378,
2,76,353,
2,77,361,
2,78,367,
2,79,369,
2,80,381,
2,81,412,
2,82,449,
2,83,472,
2,84,473,
2,85,437,
2,86,396,
2,87,325,
2,88,267,
2,89,205,
2,90,160,
2,91,118,
3,28,35,
3,29,48,
3,30,63,
3,31,76,
3,32,89,
3,33,108,
3,34,119,
3,35,139,
3,36,163,
3,37,195,
3,38,224,
3,39,252,
3,40,281,
3,41,297,
3,42,308,
3,43,336,
3,44,372,
3,45,407,
3,46,441,
3,47,475,
3,48,505,
3,49,545,
3,50,586,
3,51,632,
3,52,666,
3,53,679,
3,54,698,
3,55,714,
3,56,715,
3,57,704,
3,58,694,
3,59,684,
3,60,672,
3,61,643,
3,62,626,
3,63,607,
3,64,583,
3,65,572,
3,66,550,
3,67,538,
3,68,533,
3,69,527,
3,70,528,
3,71,524,
