playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8474679,2022,Gustav Nyquist,MIN,C,all,50,52839,1097,17.93,0.46,0.45,0.47,0.45,0.46,0.45,199,99.33,13.08,7.12,20.17,3.25,45.79,38.59,12.43,13.01,12.35,10,4,99,29,29,157,25,11,6,2,22,5,32,52,88,117,8,16,14,41,30,19,75,37,16,2.39,4.67,6.02,3,4,4,154.17,128,125.86,3,1.61,1.14,3.73,10.96,10.85,10.66,1097,208,185,148,556,172,203,192,530,14,18,128529,16,8,4,30,456.72,49.69,46.34,49.35,46.01,450,176,231,857,39,45,7,435,141,50,12.93,17.25,19.52,12,15,12,842.69,626,616.63,7.34,11.99,11.99,45.05,44.65,42.62,532.44,57.42,54.88,58.25,55.7,541,191,249,981,62,53,12,532,138,62,15.22,17.29,24.9,14,20,28,1005.77,732,748.46,8.23,13.21,13.25,52.4,53.19,51.94,95.73,116.12,1871,2292,0,0,0,0,0,0
8474679,2022,Gustav Nyquist,MIN,C,5on5,50,40346,849,17.93,0.44,0.43,0.45,0.45,0.45,0.45,254,73.82,7.46,4.96,15.9,2.36,36.22,29.09,7.29,7.39,7.21,7,3,74,22,23,119,18,8,5,2,16,5,21,41,66,88,6,12,10,35,22,16,60,30,6,1.96,3.7,1.81,3,3,2,116.17,96,93.86,2,1.04,0.98,1.41,7.09,6.98,6.93,849,160,114,135,440,141,160,149,399,10,15,107676,12,4,2,26,324.01,27.2,26.53,26.85,26.2,314,133,173,620,25,23,5,329,101,17,10.08,12.26,4.87,11,10,4,605.69,447,437.63,4.4,4.58,4.58,27.02,26.62,26.28,395.94,33.98,32.95,34.81,33.77,401,144,201,746,35,39,7,408,104,33,11.5,13.04,9.44,10,16,9,770.77,545,561.46,5.31,7.77,7.81,31.49,32.27,31.8,67.42,88.91,1522,1876,0.39,0.78,12,15,8,10
8474679,2022,Gustav Nyquist,MIN,C,4on5,50,4892,127,16.79,0.12,0.23,0.16,0.17,0.17,0.19,149,9.38,1.14,0.53,1.15,0.25,2.63,6.3,1.13,1.14,1.13,0,0,9,3,3,15,1,1,0,0,3,0,1,7,8,11,1,2,1,2,7,0,9,1,2,0.34,0.12,0.68,0,1,0,15,12,12,0,0.12,0,0,1.26,1.26,1.25,127,6,58,4,59,9,25,21,72,1,1,9193,2,0,0,1,19.35,2.12,2.03,2.12,2.03,22,3,5,30,2,0,0,17,4,4,0.47,0.45,1.21,0,1,1,30,25,25,0.24,0,0,2.36,2.36,2.25,92.06,14.88,13.5,14.88,13.5,95,31,36,162,15,12,4,87,21,18,2.4,2.53,9.95,2,2,11,162,126,126,2.18,4.7,4.7,12.36,12.36,11.68,3.61,11.95,50,252,0,0,0,0,0,0
8474679,2022,Gustav Nyquist,MIN,C,5on4,50,4564,78,17.32,0.74,0.81,0.8,0.85,0.78,0.83,225,4.83,0.95,0.59,1.09,0.18,2.23,0.97,0.89,0.95,0.89,1,0,4,2,1,7,1,0,0,0,2,0,3,1,4,6,1,2,1,2,1,1,3,1,2,0.04,0.11,0.8,0,0,0,7,6,6,0,0.17,0,0.58,0.54,0.54,0.54,78,33,2,5,38,15,11,9,43,1,2,6250,2,2,1,2,51.61,5.17,4.91,5.17,4.91,54,18,27,99,3,8,1,54,11,7,1.12,1.21,2.83,0,2,1,99,72,72,1.18,2.56,2.56,3.79,3.79,3.69,15.28,1.81,1.79,1.81,1.79,16,4,4,24,1,1,0,12,5,3,0.31,0.73,0.78,0,0,1,24,20,20,0.21,0.33,0.33,1.7,1.7,1.68,11.09,2.53,178,32,0,0.03,0,1,0,1
8477359,2022,Tucker Poolman,VAN,D,other,3,78,5,1.68,0,0.21,0,0.6,0,0.59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,1,0,0,4,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.06,0.06,0.06,0.06,1,0,1,2,0,0,0,1,0,0,0.06,0,0,0,0,0,2,1,1,0.01,0,0,0.07,0.07,0.07,0.55,2.08,15,10,0,0,0,0,0,0
8477359,2022,Tucker Poolman,VAN,D,all,3,2513,68,1.68,0.37,0.42,0.55,0.52,0.54,0.51,14,1.98,0.06,0.12,0.68,0.07,1.24,0.84,0.06,0.07,0.07,1,0,3,0,1,4,1,0,0,0,2,0,0,1,3,3,0,0,0,2,1,1,3,0,0,0.06,0,0,0,0,0,4.39,3,3.28,1,0.02,0,0,0.08,0.09,0.09,68,7,12,6,43,11,10,6,41,0,0,8488,0,0,0,2,17.95,1.24,1.24,1.35,1.35,19,7,15,41,2,0,0,21,4,1,0.65,0.38,0.21,1,1,0,44.82,26,28.21,0.22,0,0,1.46,1.6,1.59,16.67,2.14,2.12,2.01,1.99,18,4,11,33,1,2,0,13,7,2,0.35,0.92,0.86,0,1,0,30.76,22,20.41,0.27,0.86,0.86,1.55,1.45,1.44,5.65,7.75,132,124,0,0,0,0,0,0
8477359,2022,Tucker Poolman,VAN,D,5on5,3,2224,58,1.68,0.39,0.49,0.6,0.47,0.58,0.48,12,1.98,0.06,0.12,0.68,0.07,1.24,0.84,0.06,0.07,0.07,1,0,3,0,1,4,1,0,0,0,2,0,0,1,3,3,0,0,0,2,1,1,3,0,0,0.06,0,0,0,0,0,4.39,3,3.28,1,0.02,0,0,0.08,0.09,0.09,58,6,6,6,40,10,7,6,35,0,0,6077,0,0,0,2,17.25,1.17,1.17,1.28,1.28,18,7,15,40,1,0,0,20,4,1,0.58,0.38,0.21,0,1,0,43.82,25,27.21,0.22,0,0,1.39,1.52,1.51,13.67,1.86,1.84,1.72,1.71,14,4,9,27,1,2,0,10,6,2,0.25,0.75,0.86,0,1,0,24.76,18,16.41,0.2,0.86,0.86,1.2,1.1,1.09,4.11,4.26,85,95,0.86,0.02,6,1,6,1
8477359,2022,Tucker Poolman,VAN,D,4on5,3,198,4,1.68,0.23,0.03,0.2,0.08,0.25,0.09,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,2,0,2,0,0,443,0,0,0,0,0.69,0.07,0.07,0.07,0.07,1,0,0,1,1,0,0,1,0,0,0.07,0,0,1,0,0,1,1,1,0.01,0,0,0.07,0.07,0.07,2.25,0.23,0.23,0.23,0.23,3,0,1,4,0,0,0,2,1,0,0.05,0.18,0,0,0,0,4,3,3,0.05,0,0,0.28,0.28,0.28,0.04,1.05,1,11,0,0,0,0,0,0
8477359,2022,Tucker Poolman,VAN,D,5on4,3,13,1,0.93,0,1,0,0.89,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,8,1,0,0,0,0,0,0
8478398,2022,Kyle Connor,WPG,L,other,80,5982,84,57.86,0.52,0.48,0.71,0.31,0.69,0.31,140,27.03,5.13,1.84,4.5,0.98,16.99,7.58,4.89,5.13,4.89,6,3,27,10,13,50,15,6,4,0,4,0,16,7,21,31,2,4,0,1,3,2,24,6,7,0.92,0.63,3.58,2,1,3,50,37,37,1,0.55,2.21,0,5.68,5.68,5.42,84,26,5,6,47,13,8,29,34,0,0,3917,4,0,0,0,115.7,22.24,20.05,22.24,20.05,108,52,48,208,23,9,4,91,43,26,3.57,5.38,13.28,5,7,11,208,160,160,2.83,3.44,3.44,21.63,21.63,20.34,51.03,20.18,19.83,20.18,19.83,52,20,11,83,18,3,1,27,17,28,1.08,2.19,16.91,2,1,15,83,72,72,0.79,0.92,0.92,20.05,20.05,19.74,10.36,11.35,62,137,0.1,0,1,0,1,0
